decimalLongitude,decimalLatitude,year,day,month
-40.3651,-20.3373,2020,13,1
-48.4017,-27.1431,2020,16,1
-48.5641,-27.8865,2020,17,1
-48.5138,-27.1461,2020,18,1
-42.1610,-22.8320,2020,29,1
-45.3802,-23.6310,2020,31,1
-45.5051,-23.9519,2020,8,2
-42.0670,-22.9815,2020,18,2
-48.7381,-28.5467,2020,15,3
-40.2869,-20.3541,2020,15,3
-46.3214,-23.9407,2020,12,5
-43.0914,-22.8970,2020,4,6
-41.7838,-22.3975,2020,27,6
-43.1252,-22.8637,2020,11,7
-48.3336,-27.3817,2020,12,7
-43.0414,-22.9645,2020,28,7
-45.2984,-23.9081,2021,7,1
-45.4568,-23.9152,2021,8,1
-48.7274,-27.0053,2021,19,2
-42.0261,-22.8222,2021,14,3
-40.3355,-20.3736,2021,18,3
-44.3017,-23.1662,2021,18,3
-41.9103,-22.9553,2021,20,3
-43.1150,-22.9872,2021,25,4
-43.1042,-22.9263,2021,30,4
-43.1674,-22.9387,2021,2,5
-43.1345,-22.9479,2021,3,5
-43.0437,-22.9515,2021,30,5
-43.0042,-22.8625,2021,30,5
-41.9712,-22.6122,2021,3,6
-43.1543,-22.8020,2021,15,6
-48.4836,-25.9618,2021,27,6
-43.1978,-22.8916,2021,10,7
-43.1625,-22.8539,2021,11,7
-43.1612,-22.8748,2021,25,7
-43.1525,-22.8655,2021,31,7
-40.2526,-20.2135,2021,1,8
-43.0236,-22.9997,2021,15,8
-43.1949,-22.9763,2021,15,8
-48.4049,-27.7695,2021,21,8
-43.0920,-22.8490,2021,22,8
-43.0536,-22.9241,2021,12,9
-43.0886,-22.8406,2021,26,9
-43.1925,-22.8009,2021,7,11
-48.7894,-28.3459,2021,1,12
-48.4390,-27.9204,2021,9,12
-45.0180,-23.5766,2021,9,12
-48.5226,-27.9763,2021,9,12
-46.2802,-23.8376,2021,10,12
-48.7579,-27.6873,2021,16,12
-45.2148,-23.7281,2021,26,12
-40.0251,-20.1399,2021,29,12
-40.1688,-20.1777,2021,29,12
-44.2346,-23.1581,2022,5,1
-43.1564,-22.8966,2022,9,1
-42.1495,-22.9413,2022,12,1
-48.6103,-26.9685,2022,25,1
-41.9052,-22.7689,2022,26,1
-48.6122,-28.3395,2022,25,2
-43.1307,-22.8386,2022,26,2
-40.2962,-20.2726,2022,26,2
-40.3028,-20.2806,2022,26,2
-43.0723,-22.9625,2022,2,3
-43.0400,-22.8268,2022,30,3
-40.2718,-20.2243,2022,31,3
-43.0579,-22.9652,2022,3,4
-43.1344,-22.9334,2022,6,4
-43.0918,-22.9366,2022,10,4
-44.7114,-23.3361,2022,29,4
-43.1005,-22.8444,2022,1,5
-43.0797,-22.9120,2022,8,5
-40.2529,-20.2415,2022,20,5
-40.2698,-20.2831,2022,20,5
-48.2747,-25.5403,2022,26,5
-48.5294,-27.5234,2022,16,6
-43.1533,-22.8826,2022,10,7
-43.1808,-22.9291,2022,10,7
-43.0095,-22.9933,2022,24,7
-43.1205,-22.9702,2022,30,7
-38.7802,-17.9469,2022,23,9
-38.7552,-17.8545,2022,9,10
-43.1370,-22.8940,2022,17,10
-43.1584,-22.9046,2022,22,10
-46.0675,-23.8084,2022,23,10
-43.0826,-22.9367,2022,30,10
-43.0334,-22.9061,2022,6,11
-40.6417,-20.9583,2022,6,11
-43.5253,-23.5955,2022,16,11
-47.9219,-25.2212,2022,19,11
-41.9283,-22.7606,2022,21,11
-40.3246,-20.3579,2022,8,12
-40.2572,-20.3964,2022,8,12
-45.0341,-23.4433,2022,8,12
-40.2344,-20.2568,2022,11,12
-40.2548,-20.2928,2022,11,12
-43.8616,-22.8299,2022,16,12
-43.0113,-22.8385,2022,29,12
-43.0644,-22.8391,2022,31,12
-47.8500,-25.0698,2023,1,1
-47.8181,-24.8275,2023,1,1
